                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.04,                 1.5689,                 1.0568,                0.90469,                0.83857,                0.87609,                0.67551,                0.93154,                0.96812,                 1.0164,              0.0033113,              0.0033113,              0.0033113
                      2,                 1.0095,                 1.2789,                 1.0431,                 0.9184,                0.82799,                0.87998,                0.67873,                0.93954,                 1.0058,                 1.0135,              0.0066314,              0.0066314,              0.0066314
                      3,                 1.1161,                 1.2635,                 1.0994,                0.80975,                0.82667,                0.83526,                 0.6468,                 0.9154,                 0.9795,                 1.0214,              0.0099384,              0.0099384,              0.0099384
                      4,                 1.1225,                  1.206,                 1.1054,                 0.8806,                0.78681,                0.83331,                0.60528,                 1.0792,                 1.0701,                  1.092,              0.0099406,              0.0099406,              0.0099406
                      5,                  1.134,                 1.1574,                  1.124,                0.82097,                 0.7374,                0.85044,                   0.65,                 1.0638,                 1.1637,                 1.0948,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1107,                  1.029,                 1.1198,                0.90255,                0.83893,                0.88518,                0.68453,                0.93137,                0.91887,                 1.0907,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1016,                 1.0048,                 1.1231,                0.82446,                 0.8217,                0.85053,                0.64531,                0.95249,                0.93865,                 1.0541,               0.009901,               0.009901,               0.009901
                      8,                 1.0715,                0.95908,                 1.1113,                0.86079,                0.81561,                0.88101,                0.67918,                0.94301,                0.88902,                 1.0637,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0753,                0.95185,                 1.1201,                0.87593,                0.87776,                0.88106,                0.69298,                0.89189,                0.78959,                 1.0537,              0.0098614,              0.0098614,              0.0098614
                     10,                  1.082,                0.98365,                 1.1348,                0.91247,                0.84064,                0.89623,                0.69356,                0.91152,                0.77204,                 1.0392,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0373,                0.87178,                 1.0927,                0.91126,                0.85365,                0.90078,                0.70167,                0.90019,                0.80216,                 1.0686,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0353,                0.88335,                 1.1165,                0.86994,                0.85603,                0.88012,                0.69405,                0.89585,                0.83244,                 1.0452,               0.009802,               0.009802,               0.009802
                     13,                 1.0244,                0.86285,                 1.0943,                0.84573,                0.84408,                0.87776,                0.68601,                0.91017,                0.84623,                 1.0721,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.0299,                0.88172,                 1.1078,                0.91723,                0.86529,                0.90456,                0.70669,                0.88128,                0.75535,                  1.037,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.0177,                0.83103,                 1.1092,                0.88459,                0.86046,                0.87544,                0.68465,                0.93939,                0.82346,                 1.0832,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.0046,                0.80022,                 1.1088,                0.90908,                0.89664,                0.90436,                0.71649,                0.89862,                0.72432,                 1.0714,              0.0097228,              0.0097228,              0.0097228
                     17,                0.99052,                0.77171,                 1.0942,                0.92839,                0.87521,                0.91012,                0.71268,                0.90853,                0.76605,                 1.0625,               0.009703,               0.009703,               0.009703
                     18,                 1.0036,                0.85092,                 1.0943,                0.90925,                0.88092,                0.89508,                0.70099,                0.87962,                0.74217,                 1.0972,              0.0096832,              0.0096832,              0.0096832
                     19,                0.97759,                0.78168,                 1.1046,                0.91054,                0.89171,                0.91038,                0.71138,                0.89577,                0.71165,                 1.0757,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.0018,                0.79159,                 1.1017,                0.93707,                0.80289,                 0.9089,                0.71714,                0.92023,                0.76444,                 1.0713,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.0022,                0.75935,                 1.0962,                 0.9164,                0.89717,                0.90006,                0.72538,                0.85229,                0.70555,                 1.0793,              0.0096238,              0.0096238,              0.0096238
                     22,                0.98023,                0.72847,                 1.1039,                0.91454,                0.88436,                0.90216,                0.70257,                0.85698,                0.68107,                 1.0646,               0.009604,               0.009604,               0.009604
                     23,                0.97322,                0.73667,                 1.0859,                0.88605,                0.90301,                0.89912,                0.71775,                0.86452,                0.70486,                 1.0507,              0.0095842,              0.0095842,              0.0095842
                     24,                0.99249,                0.76086,                 1.1081,                0.89695,                0.89795,                0.90908,                 0.7216,                0.85027,                0.69045,                 1.0562,              0.0095644,              0.0095644,              0.0095644
                     25,                0.96333,                 0.7405,                 1.0913,                0.91175,                0.90078,                0.90989,                0.73084,                0.83824,                0.68874,                 1.0505,              0.0095446,              0.0095446,              0.0095446
                     26,                0.96749,                0.75318,                 1.0925,                0.89354,                0.90468,                0.90853,                0.71477,                0.85442,                0.67657,                 1.0603,              0.0095248,              0.0095248,              0.0095248
                     27,                0.95177,                0.71851,                 1.0908,                0.90439,                0.90826,                0.90621,                0.72586,                  0.849,                0.67776,                 1.0679,               0.009505,               0.009505,               0.009505
                     28,                0.96558,                0.72374,                 1.0994,                0.90256,                0.88909,                0.89461,                0.71903,                0.84714,                0.72455,                 1.0735,              0.0094852,              0.0094852,              0.0094852
                     29,                0.97335,                0.72757,                 1.1075,                0.92944,                0.88263,                0.90147,                0.71832,                0.84013,                0.69897,                 1.0703,              0.0094654,              0.0094654,              0.0094654
                     30,                  0.964,                0.71805,                 1.0943,                0.95361,                0.87591,                0.91232,                0.72772,                 0.8479,                0.66971,                 1.0763,              0.0094456,              0.0094456,              0.0094456
                     31,                0.93408,                0.68935,                 1.0751,                0.92314,                 0.9009,                0.91538,                0.73179,                0.85112,                0.65843,                 1.0775,              0.0094258,              0.0094258,              0.0094258
                     32,                0.92126,                0.68998,                 1.0808,                0.91577,                0.89332,                0.91361,                0.73441,                 0.8196,                0.67518,                 1.0662,               0.009406,               0.009406,               0.009406
                     33,                0.95879,                 0.7284,                 1.0959,                0.90755,                0.92991,                0.92156,                0.74245,                0.83962,                0.65711,                  1.072,              0.0093862,              0.0093862,              0.0093862
                     34,                0.94675,                0.71048,                 1.0918,                0.92068,                0.88092,                0.91936,                0.73569,                0.84351,                0.66392,                 1.0894,              0.0093664,              0.0093664,              0.0093664
                     35,                0.94876,                0.69391,                 1.0974,                 0.9639,                0.88408,                0.91955,                0.73953,                0.83638,                0.60743,                 1.0697,              0.0093466,              0.0093466,              0.0093466
                     36,                0.92533,                0.66233,                 1.0853,                0.90526,                0.91136,                0.91603,                0.73444,                 0.8339,                0.66756,                 1.0994,              0.0093268,              0.0093268,              0.0093268
                     37,                0.91497,                0.67545,                 1.0727,                0.91377,                0.89025,                0.91813,                0.73896,                0.83447,                0.62294,                 1.0834,               0.009307,               0.009307,               0.009307
                     38,                0.93144,                0.68483,                  1.088,                 0.9227,                0.92061,                0.91356,                 0.7247,                0.84217,                0.64454,                 1.0978,              0.0092872,              0.0092872,              0.0092872
                     39,                0.92089,                0.66893,                  1.077,                0.88738,                0.88297,                 0.9038,                0.71967,                0.90202,                0.70689,                 1.1262,              0.0092674,              0.0092674,              0.0092674
                     40,                0.93419,                0.69114,                 1.0818,                0.93281,                0.88863,                 0.9091,                0.72987,                0.83365,                 0.6504,                 1.0741,              0.0092476,              0.0092476,              0.0092476
                     41,                0.93695,                0.65279,                 1.0897,                 0.9281,                0.89211,                0.90963,                0.73607,                0.83781,                0.68171,                  1.062,              0.0092278,              0.0092278,              0.0092278
                     42,                0.89176,                0.63925,                 1.0604,                0.93646,                0.90472,                0.91259,                0.73377,                0.84985,                0.67969,                 1.0773,               0.009208,               0.009208,               0.009208
                     43,                0.89332,                0.66161,                 1.0676,                0.93525,                0.89332,                0.91552,                0.73474,                0.81392,                0.60965,                 1.0712,              0.0091882,              0.0091882,              0.0091882
                     44,                0.91024,                0.64337,                 1.0702,                0.94396,                0.89581,                0.91827,                0.73013,                0.82265,                0.60655,                 1.0645,              0.0091684,              0.0091684,              0.0091684
                     45,                0.90114,                  0.647,                 1.0717,                0.92311,                0.90578,                0.91742,                0.74345,                0.84543,                  0.644,                 1.0771,              0.0091486,              0.0091486,              0.0091486
                     46,                0.90564,                0.66397,                 1.0684,                0.92171,                0.90792,                0.92017,                0.73476,                0.83841,                0.62822,                  1.081,              0.0091288,              0.0091288,              0.0091288
                     47,                 0.9195,                0.65964,                 1.0832,                0.90754,                0.89183,                0.92038,                0.73817,                0.82384,                0.60526,                 1.1016,               0.009109,               0.009109,               0.009109
                     48,                0.89648,                0.63631,                 1.0748,                0.93969,                0.89887,                0.90937,                0.74214,                0.80672,                 0.6162,                 1.0628,              0.0090892,              0.0090892,              0.0090892
                     49,                0.90856,                0.65048,                 1.0571,                0.92069,                0.91416,                0.92274,                0.74596,                 0.8018,                0.58955,                 1.0643,              0.0090694,              0.0090694,              0.0090694
                     50,                0.89873,                0.61118,                 1.0566,                0.91612,                0.90926,                0.91614,                0.74523,                0.78171,                0.58811,                 1.0514,              0.0090496,              0.0090496,              0.0090496
                     51,                0.90429,                0.62771,                 1.0665,                0.91279,                0.91804,                0.91582,                 0.7374,                0.80929,                0.61267,                 1.0608,              0.0090298,              0.0090298,              0.0090298
                     52,                0.90117,                0.64424,                 1.0734,                 0.9128,                 0.9245,                0.91372,                0.72667,                0.84448,                0.60839,                 1.0877,                0.00901,                0.00901,                0.00901
                     53,                0.89401,                0.63393,                 1.0626,                0.92563,                0.91625,                 0.9175,                 0.7422,                0.80918,                0.58669,                 1.0759,              0.0089902,              0.0089902,              0.0089902
                     54,                0.89001,                 0.6614,                 1.0605,                0.96001,                 0.8978,                0.92265,                0.74995,                0.81132,                0.62776,                 1.0791,              0.0089704,              0.0089704,              0.0089704
                     55,                0.89292,                0.64852,                 1.0666,                0.92898,                0.90577,                0.91755,                0.74048,                0.82709,                 0.6084,                 1.0971,              0.0089506,              0.0089506,              0.0089506
                     56,                0.87758,                0.61993,                 1.0597,                0.92599,                0.91912,                0.91816,                0.74134,                0.81991,                0.60262,                 1.0628,              0.0089308,              0.0089308,              0.0089308
